fecha;rk;tipo;localizacion;latitud;longitud;profundidad;especie;sexo;estado_caparazon;cirripedio;largo_caparazon;ancho_caparazon;largo_quela;ancho_quela;huevos;parasito
jul_97;54;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;4;;94.4;;;;;
jul_97;55;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;3;;86;;;;;
jul_97;56;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;4;2;78.4;;;;3;
jul_97;57;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;3;;91.5;;;;;
jul_97;58;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;3;;88.5;;;;;
jul_97;59;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;4;2;97;;;;;
jul_97;60;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;3;;86.5;;;;;
jul_97;61;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;4;;70.7;;;;5;
jul_97;62;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;3;;44.8;;;;;
jul_97;63;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;3;;78;;;;;
jul_97;64;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;4;2;68;;;;3;
jul_97;65;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;3;;73;;;;1;
jul_97;66;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;4;2;69.9;;;;0;
jul_97;67;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;3;;94.9;;;;;
jul_97;68;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;3;;74.8;;;;1;
jul_97;69;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;3;;78;;;;1;
jul_97;70;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;3;;75.4;;;;1;
jul_97;71;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;4;2;70;;;;3;
jul_97;72;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;3;;87.5;;;;;
jul_97;73;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;3;;73.5;;;;1;
jul_97;74;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;3;2;91.9;;;;;
jul_97;75;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;4;;67;;;;3;
jul_97;76;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;3;;70.7;;;;1;20
jul_97;77;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;4;2;91;;;;;
jul_97;78;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;4;2;86.4;;;;;20
jul_97;79;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;3;;73.4;;;;;
jul_97;80;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;3;;87.2;;;;;
jul_97;81;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;3;;62.9;;;;1;
jul_97;82;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;3;;85;;;;;
jul_97;83;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;3;;82.3;;;;;
jul_97;84;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;3;;74.2;;;;;
jul_97;85;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;3;;90;;;;;
jul_97;86;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;3;;90.6;;;;;
jul_97;87;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;3;;86.7;;;;;
jul_97;88;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;3;;82.1;;;;;
jul_97;89;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;3;;76.3;;;;1;
jul_97;90;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;3;;63.5;;;;1;
jul_97;91;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;3;;90.6;;;;;
jul_97;92;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;3;;80.3;;;;;
jul_97;93;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;3;;90.2;;;;;
jul_97;94;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;3;;90.2;;;;;
jul_97;95;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;4;2;77.7;;;;3;
jul_97;96;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;1;4;;99.1;;;;;
jul_97;97;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;3;;70.8;;;;1;
jul_97;98;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;4;2;73.4;;;;7;
jul_97;99;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;4;2;75.1;;;;7;
jul_97;100;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;3;;71.5;;;;1;
jul_97;101;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;3;;75.7;;;;1;
jul_97;102;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;3;;68.6;;;;1;
jul_97;103;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;4;2;71.5;;;;3;
jul_97;104;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;3;;71.8;;;;1;
jul_97;105;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;3;;68.6;;;;1;
jul_97;106;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;3;;60.5;;;;1;
jul_97;107;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;3;;69.7;;;;3;
jul_97;108;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;3;;71.1;;;;1;
jul_97;109;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;3;;81.5;;;;1;
jul_97;110;Captura total trampas wp 149;;-54.8563333;-68.038;22;2;2;3;2;62.9;;;;1;
jul_97;111;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;94.1;;;;;
jul_97;112;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;91.7;;;;;
jul_97;113;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;95.6;;;;;
jul_97;114;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;94.1;;;;;
jul_97;115;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;100.9;;;;;
jul_97;116;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;83;;;;;
jul_97;117;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;89.8;;;;;
jul_97;118;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;89.7;;;;;
jul_97;119;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;82.7;;;;;
jul_97;120;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;99.7;;;;;
jul_97;121;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;4;2;62.4;;;;3;
jul_97;122;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;4;2;88.8;;;;;
